pillar,indicator,act,check,verdict,evidence,suggested_correction,Codex Verdict,Codex Confidence,Codex Review Reason,Codex Final Action
12,12.4.1,Financial Services Act (Act 758) 2013,A-dead-link,ERROR,https://www.bnm.gov.my/documents/20124/820862/Financial+Services+Act+2013.pdf -> 202,Replace with a live official link (format rules: broken links must be replaced),NEEDS HUMAN,Medium,"URL problem detected, but status needs confirmation before shipping as a scored error.",Confirm before claiming
12,12.4.2,Financial Services Act (Act 758) 2013,A-dead-link,ERROR,https://www.bnm.gov.my/documents/20124/820862/Financial+Services+Act+2013.pdf -> 202,Replace with a live official link (format rules: broken links must be replaced),NEEDS HUMAN,Medium,"URL problem detected, but status needs confirmation before shipping as a scored error.",Confirm before claiming
12,12.4.3,Financial Services Act (Act 758) 2013,A-dead-link,ERROR,https://www.bnm.gov.my/documents/20124/820862/Financial+Services+Act+2013.pdf -> 202,Replace with a live official link (format rules: broken links must be replaced),NEEDS HUMAN,Medium,"URL problem detected, but status needs confirmation before shipping as a scored error.",Confirm before claiming
12,12.4.4,Financial Services Act (Act 758) 2013;   Bank Negara Malaysia (BNM) Policy Document on Ele,A-dead-link,ERROR,https://www.bnm.gov.my/documents/20124/820862/Financial+Services+Act+2013.pdf -> 202,Replace with a live official link (format rules: broken links must be replaced),NEEDS HUMAN,Medium,"URL problem detected, but status needs confirmation before shipping as a scored error.",Confirm before claiming
12,12.4.5,Financial Services Act (Act 758) 2013  Bank Negara Malaysia (BNM) Policy Document on Elect,A-dead-link,ERROR,https://www.bnm.gov.my/documents/20124/820862/Financial+Services+Act+2013.pdf -> 202,Replace with a live official link (format rules: broken links must be replaced),NEEDS HUMAN,Medium,"URL problem detected, but status needs confirmation before shipping as a scored error.",Confirm before claiming
12,12.4.6,Financial Services Act (Act 758) 2013,A-dead-link,ERROR,https://www.bnm.gov.my/documents/20124/820862/Financial+Services+Act+2013.pdf -> 202,Replace with a live official link (format rules: broken links must be replaced),NEEDS HUMAN,Medium,"URL problem detected, but status needs confirmation before shipping as a scored error.",Confirm before claiming
12,12.4.7,Financial Services Act (Act 758) 2013,A-dead-link,ERROR,https://www.bnm.gov.my/documents/20124/820862/Financial+Services+Act+2013.pdf -> 202,Replace with a live official link (format rules: broken links must be replaced),NEEDS HUMAN,Medium,"URL problem detected, but status needs confirmation before shipping as a scored error.",Confirm before claiming
12,12.5,Sales Tax (Amendment) Act (Act A1671) 2022;   Customs (Prohibition of Imports) Order P.U. ,B-non-official-source,ERROR,References cite global-express.org (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep global-express.org only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
12,12.6,World Trade Organization (WTO) Moratorium on Customs Duties on Electronic Transmissions 19,E-timeframe-format,WARN,timeframe='Since 1998;\n\nLast review in October 2024',Use 'Since [Month Year]; last amended [Month Year]' per format rules,NEEDS HUMAN,Medium,"Likely formatting issue, but less legally substantive; confirm against organizer timeframe rules before scoring.",Confirm before claiming
12,12.6,World Trade Organization (WTO) Moratorium on Customs Duties on Electronic Transmissions 19,B-non-official-source,ERROR,References cite docs.wto.org (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep docs.wto.org only as archive,NEEDS HUMAN,Medium,"Source is not a domestic primary legal source, but the domain may be institutional/official-adjacent; confirm before accusing as error.",Confirm before claiming
12,12.7,MYNIC's registration policies,B-non-official-source,ERROR,References cite mynic.my (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep mynic.my only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
12,12.9,Electronic Commerce Act (Act 658) 2006,B-non-official-source,ERROR,References cite commonlii.org (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep commonlii.org only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
12,12.9,Electronic Commerce Act (Act 658) 2006,A-dead-link,ERROR,http://www.commonlii.org/my/legis/consol_act/eca2006182/ -> 403,Replace with a live official link (format rules: broken links must be replaced),NEEDS HUMAN,Medium,"URL is inaccessible from audit environment (403); likely bad for reproducibility, but confirm before labeling dead.",Confirm before claiming
12,12.9,Consumer Protection (Electronic Trade Transactions) Regulations 2012;   Consumer Protectio,B-non-official-source,ERROR,References cite aseanconsumer.org (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep aseanconsumer.org only as archive,NEEDS HUMAN,Medium,"Source is not a domestic primary legal source, but the domain may be institutional/official-adjacent; confirm before accusing as error.",Confirm before claiming
12,12.9,Financial Services Act (Act 758) 2013;  Bank Negara Malaysia (BNM) Policy Document on Elec,A-dead-link,ERROR,https://www.bnm.gov.my/documents/20124/820862/Financial+Services+Act+2013.pdf -> 202,Replace with a live official link (format rules: broken links must be replaced),NEEDS HUMAN,Medium,"URL problem detected, but status needs confirmation before shipping as a scored error.",Confirm before claiming
12,12.1,Lack of signature of the UN Convention on Electronic Communications 2005,E-timeframe-format,WARN,timeframe='Last review in October 2024',Use 'Since [Month Year]; last amended [Month Year]' per format rules,NEEDS HUMAN,Medium,"Likely formatting issue, but less legally substantive; confirm against organizer timeframe rules before scoring.",Confirm before claiming
12,12.1,Lack of signature of the UN Convention on Electronic Communications 2005,B-non-official-source,ERROR,References cite uncitral.un.org (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep uncitral.un.org only as archive,NEEDS HUMAN,Medium,"Source is not a domestic primary legal source, but the domain may be institutional/official-adjacent; confirm before accusing as error.",Confirm before claiming
,Not in agreement with binding commitments on data transfer,Comprehensive And Progressive Agreement For Trans-Pacific Partnership - Malaysia,A-dead-link,ERROR,https://www.mti.gov.sg/-/media/MTI/improving-trade/multilateral-and-regional-forums/CPTPP/ -> 404,Replace with a live official link (format rules: broken links must be replaced),SHIP,High,Reference URL is objectively broken/unreachable in the audit and should be replaced with a live official source.,Use as scored audit finding
,Requirements to allow government access to personal data,Criminal Procedure Code (Act 593) 2018,B-non-official-source,ERROR,References cite cyrilla.org (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep cyrilla.org only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
,Lack of dedicated legal framework for cybersecurity,Cyber Security Act (Act 854) 2024,B-non-official-source,ERROR,References cite lokekinggoh.com (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep lokekinggoh.com only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
,Requirements to allow government access to personal data,Cyber Security Act (Act 854) 2024,B-non-official-source,ERROR,References cite lokekinggoh.com (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep lokekinggoh.com only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
,Ban & local processing requirements,Personal Data Protection Act (Act 709) 2010,B-non-official-source,ERROR,References cite mohre.um.edu.my (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep mohre.um.edu.my only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
,Local storage requirements,Personal Data Protection Act (Act 709) 2010,B-non-official-source,ERROR,References cite mohre.um.edu.my (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep mohre.um.edu.my only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
,Infrastructure requirements,Personal Data Protection Act (Act 709) 2010,B-non-official-source,ERROR,References cite mohre.um.edu.my (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep mohre.um.edu.my only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
,Conditional flow regimes,Personal Data Protection Act (Act 709) 2010,B-non-official-source,ERROR,References cite mohre.um.edu.my (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep mohre.um.edu.my only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
,Lack of comprehensive legal framework for data protection,Personal Data Protection Act (Act 709) 2010,B-non-official-source,ERROR,References cite mohre.um.edu.my (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep mohre.um.edu.my only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
,Minimum period of data retention requirements,Personal Data Protection Act (Act 709) 2010,B-non-official-source,ERROR,References cite mohre.um.edu.my (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep mohre.um.edu.my only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
,Data Protection Impact Assessment or Data Protection Officer requirements,Personal Data Protection Act (Act 709) 2010,B-non-official-source,ERROR,References cite mohre.um.edu.my (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep mohre.um.edu.my only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
,Requirements to allow government access to personal data,Personal Data Protection Act (Act 709) 2010,B-non-official-source,ERROR,References cite mohre.um.edu.my (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep mohre.um.edu.my only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
,Minimum period of data retention requirements,Personal Data Protection Standard 2015,B-non-official-source,ERROR,References cite viatris.com (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep viatris.com only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
,Ban & local processing requirements,Personal Data Protection(Amendment) Bill (Act A1727) 2024,D-bill-as-measure,ERROR,Acts column cites a Bill — drafts/bills are never recordable measures,Cite the enacted Act (e.g. PDP (Amendment) Act A1727 2024) or remove,SHIP,High,Master row cites a Bill/draft label as a measure; real methodology/source-quality error unless enacted status is separately corrected.,Use as scored audit finding
,Ban & local processing requirements,Personal Data Protection(Amendment) Bill (Act A1727) 2024,B-non-official-source,ERROR,References cite f.datasrvr.com (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep f.datasrvr.com only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
,Local storage requirements,Personal Data Protection(Amendment) Bill (Act A1727) 2024,D-bill-as-measure,ERROR,Acts column cites a Bill — drafts/bills are never recordable measures,Cite the enacted Act (e.g. PDP (Amendment) Act A1727 2024) or remove,SHIP,High,Master row cites a Bill/draft label as a measure; real methodology/source-quality error unless enacted status is separately corrected.,Use as scored audit finding
,Conditional flow regimes,Personal Data Protection(Amendment) Bill (Act A1727) 2024,D-bill-as-measure,ERROR,Acts column cites a Bill — drafts/bills are never recordable measures,Cite the enacted Act (e.g. PDP (Amendment) Act A1727 2024) or remove,SHIP,High,Master row cites a Bill/draft label as a measure; real methodology/source-quality error unless enacted status is separately corrected.,Use as scored audit finding
,Lack of comprehensive legal framework for data protection,Personal Data Protection(Amendment) Bill (Act A1727) 2024,D-bill-as-measure,ERROR,Acts column cites a Bill — drafts/bills are never recordable measures,Cite the enacted Act (e.g. PDP (Amendment) Act A1727 2024) or remove,SHIP,High,Master row cites a Bill/draft label as a measure; real methodology/source-quality error unless enacted status is separately corrected.,Use as scored audit finding
,Lack of comprehensive legal framework for data protection,Personal Data Protection(Amendment) Bill (Act A1727) 2024,B-non-official-source,ERROR,References cite f.datasrvr.com (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep f.datasrvr.com only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
,Minimum period of data retention requirements,Personal Data Protection(Amendment) Bill (Act A1727) 2024,D-bill-as-measure,ERROR,Acts column cites a Bill — drafts/bills are never recordable measures,Cite the enacted Act (e.g. PDP (Amendment) Act A1727 2024) or remove,SHIP,High,Master row cites a Bill/draft label as a measure; real methodology/source-quality error unless enacted status is separately corrected.,Use as scored audit finding
,Minimum period of data retention requirements,Personal Data Protection(Amendment) Bill (Act A1727) 2024,B-non-official-source,ERROR,References cite f.datasrvr.com (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep f.datasrvr.com only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
,Data Protection Impact Assessment or Data Protection Officer requirements,Personal Data Protection(Amendment) Bill (Act A1727) 2024,D-bill-as-measure,ERROR,Acts column cites a Bill — drafts/bills are never recordable measures,Cite the enacted Act (e.g. PDP (Amendment) Act A1727 2024) or remove,SHIP,High,Master row cites a Bill/draft label as a measure; real methodology/source-quality error unless enacted status is separately corrected.,Use as scored audit finding
,Data Protection Impact Assessment or Data Protection Officer requirements,Personal Data Protection(Amendment) Bill (Act A1727) 2024,B-non-official-source,ERROR,References cite f.datasrvr.com (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep f.datasrvr.com only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
,Requirements to allow government access to personal data,Personal Data Protection(Amendment) Bill (Act A1727) 2024,D-bill-as-measure,ERROR,Acts column cites a Bill — drafts/bills are never recordable measures,Cite the enacted Act (e.g. PDP (Amendment) Act A1727 2024) or remove,SHIP,High,Master row cites a Bill/draft label as a measure; real methodology/source-quality error unless enacted status is separately corrected.,Use as scored audit finding
,Requirements to allow government access to personal data,Personal Data Protection(Amendment) Bill (Act A1727) 2024,B-non-official-source,ERROR,References cite f.datasrvr.com (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep f.datasrvr.com only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
,Not in agreement with binding commitments on data transfer,Regional Comprehensive Economic Partnership (Rcep),B-non-official-source,ERROR,References cite mfat.govt.nz (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep mfat.govt.nz only as archive,NEEDS HUMAN,Medium,"Source is not a domestic primary legal source, but the domain may be institutional/official-adjacent; confirm before accusing as error.",Confirm before claiming
,Requirements to allow government access to personal data,Security Offences (Special Measures) Act (Act 747) 2012,B-non-official-source,ERROR,References cite cyrilla.org (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep cyrilla.org only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
